Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Source,Number_News,Media_Attention,Reliability,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Time_Period,First_Shot,Duration_min,Summary,Narrative,Situation,Targets,Accomplice,Accomplice_Narrative,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Active_Shooter_FBI,Shots_Fired,LAT,LNG
20231021OHFAD,10,21,2023,10/21/23,Fairview PreK-6 School,0,1,1,0,"https://www.whio.com/news/local/one-hospitalized-after-shooting-near-local-school-building/6QK6LAE4YRCU7KMYQFG357NCAM/
https://dayton247now.com/news/local/at-least-one-taken-to-hospital-after-shooting-near-school",2,Local,3,Fall,Dayton,OH,Elementary,Parking Lot,Outside on School Property,No,Evening,7:08 PM,1,Person shot in school parking lot,Person shot in school parking lot,,,No,,No,No,No,No,No,No,No,,39.790098,-84.229618
20231020FLLIT,10,20,2023,10/20/23,Lincoln High School,0,1,1,0,https://www.wctv.tv/2023/10/20/lincoln-high-school-student-arrested-after-bringing-airsoft-rifle-campus/,3,Local,4,Fall,Tallahassee,FL,High,Parking Lot,Outside on School Property,Yes,Morning Classes,8:15 AM,1,Student shot classmate with replica AR-15 rifle in parking lot,"A Lincoln High School student was arrested Friday morning after they allegedly brought an airsoft gun on campus and fired it at another student, according to the Leon County Sheriff’s Office. LCSO says around 8 a.m. Friday, Lincoln High staff members observed a distressed student who informed them they had been shot with an airsoft gun. LCSO’s School Resource deputy on campus arrested the student, who is an 11th grader and transported him to the Juvenile Assessment Center, according to LCSO. He was charged with felony possession of a dangerous weapon on campus.",,Victims Targeted,No,,No,No,No,No,No,No,No,1,30.43544,-84.213519
20231020FLFAT,10,20,2023,10/20/23,Farnell Middle School,0,0,0,1,"https://teamhcso.com/News/PressRelease/8f12d1de-a566-4f15-89a2-9b00337828f2/en-US
https://www.fox13news.com/news/hillsborough-deputies-investigating-death-at-farnell-middle-school",20,Regional,4,Fall,Tampa,FL,Middle,Parking Lot,Outside on School Property,Yes,School Start,7:00 AM,1,Ex-husband of teacher killed himself in front of students in the drop off area,"On Friday, October 20, 2023, deputies responded to calls about a shooting that had occurred at Farnell Middle School. When deputies arrived, they located a deceased adult male in the back part of the school. The preliminary investigation shows that a man drove to where students are dropped off by bus and by their parents. As he approached the school building, he took his life with a self-inflicted gunshot wound. Unfortunately, two students were in the vicinity at the time of the shooting and witnessed the incident. Those students ran to the office, where they informed school staff and, using the CENTEGIX System, placed the school on immediate lockdown.",Suicide/Attempted,Victims Targeted,No,,No,No,No,No,No,No,No,1,28.07222,-82.635721
20231019ILMAC,10,19,2023,10/19/23,Mather High School,0,0,0,0,https://wgntv.com/news/chicagocrime/alderman-shots-fired-near-mather-high-school-in-chicago/,1,Local,3,Fall,Chicago,IL,High,Parking Lot,Outside on School Property,No,After School,,1,"Shots fired in school parking lot during after school activities, several cars damaged","Shots fired in school parking lot during after school activities, several cars damaged",,,,,No,No,No,No,No,,No,99,41.987506,-87.700849
20231019TXNAA,10,19,2023,10/19/23,Navarro High School,0,1,1,0,https://www.kxan.com/news/local/austin/apd-says-scene-still-active-after-juvenile-shot-in-northeast-austin/,5,Local,4,Fall,Austin,TX,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,1:00 PM,1,Student shot in the student parking lot,Police responded for reported shooting and found a stuent with a gunshot wound in the student parking lot. School went on lockdown.,,Victims Targeted,No,,No,No,No,No,No,,No,99,30.360665,-97.70812
20231019CAGRF,10,19,2023,10/19/23,Greenberg Elementary School,0,1,1,0,https://www.yourcentralvalley.com/news/crime/fresno-teen-arrested-for-shooting-fleeing-with-gun-to-elementary-school/,5,Local,4,Fall,Fresno,CA,Elementary,Outside on School Property,Outside on School Property,Yes,School Start,7:45 AM,1,Principal detained student with gun who was running across campus,"The Fresno Police Department says it all started around 7:45 a.m. Thursday, when they received a ShotSpotter activation reporting 11 shots were fired in the 5100 block of East Lane Avenue. It happened to fall right next door to Greenberg Elementary, which was placed on lockdown. They say immediately after the shooting, the suspect, whose mother said is a sixth grader at Greenberg, fled heading right towards the school. That’s when police say a teacher spotted him jumping over a fence, bringing a gun onto school grounds. “Immediately told the principal what she had seen. And then the principal immediately detained the juvenile before he made it any further onto the school campus,” said Sgt. Diana Trueba Vega with the Fresno Police Department. When officers arrived, they took the alleged shooter into custody and found a 15-year-old boy shot multiple times in his left leg and on the left side of his body at the apartment complex.",,Victims Targeted,No,,No,No,No,No,No,,No,11,36.732736,-119.724702
20231018WILUW,10,18,2023,10/18/23,Luther Preparatory School,0,0,0,1,https://www.wisn.com/article/watertown-police-shoot-kill-man-near-elementary-school/45572872#,10,Local,4,Fall,Watertown,WI,K-12,Beside Building,Outside on School Property,Yes,Morning Classes,11:15 PM,1,Man fleeing from police was shot on campus when he pulled handgun,Police were investigating property damage to an apartment building when the suspect fled. Police chased the suspect onto the school campus where he pulled a handgun near a campus building. Police fatally shot the man. School went on lockdown and cancelled classes the following day.,Illegal Activity,Victims Targeted,No,,No,No,No,No,No,No,No,99,43.188626,-88.713206
20231015OHEAT,10,15,2023,10/15/23,East Broadway Elementary,0,1,1,0,https://www.13abc.com/2023/10/16/man-shot-neck-after-confrontation-flag-football-game/,1,Local,4,Fall,Toledo,OH,High,Football Field/Track,Outside on School Property,No,Sport Event,10:00 AM,1,Man shot another man in the neck during dispute a youth football game,"Toledo police officers responded to the football field of East Broadway Elementary Sunday morning on reports of shots fired. Witnesses told police the suspect had pointed a gun in the victim’s face, and when the victim swiped at it, the 26-year-old victim was shot in the neck. TPD says he suffered non-life-threatening injuries. Officers stopped a truck matching the description and found Dominique McClain, 23, hiding in the backseat.",Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,No,No,1,41.619143,-83.511858
20231015TXFRD,10,15,2023,10/15/23,Fred Moore High School,1,1,2,0,"https://www.fox4news.com/news/2-men-shot-in-high-school-parking-lot-denton-police-say
https://www.wfaa.com/video/news/crime/man-dies-critically-injured-shooting-denton-school-parking-lot-police/287-1cb40db3-2035-4537-b3bb-018b1ff0bbc2",5,Local,4,Fall,Denton,TX,High,Parking Lot,Outside on School Property,No,Night,2:30 AM,1,Two men shot in school parking lot,"Police said they got multiple calls around 2:30 a.m. about shots fired in the school’s parking lot. When officers got there, they found two adult gunshot victims who were taken to local hospitals.",,,,,No,No,No,No,,,No,99,33.20714,-97.127168
20231015MOKIK,10,15,2023,10/15/23,North Kirkwood Middle School,0,0,0,0,"https://www.riverfronttimes.com/news/bob-mccullochs-son-arrested-for-kirkwood-trunk-or-treat-shooting-41062265
https://www.stltoday.com/news/local/crime-courts/shots-fired-at-kirkwood-school-trunk-or-treat-event/article_1f49f840-6bbc-11ee-9767-4bae03581e5e.html
https://fox2now.com/news/missouri/shots-fired-at-kirkwood-schools-trunk-or-treat-event/",5,Local,4,Fall,Kirkwood,MO,Middle,Parking Lot,Outside on School Property,No,School Event,5:00 PM,1,Man fired shot into the air during Halloween event in school parking lot,"A probable cause statement against Matthew McCulloch (St. Louis Police Officer) alleges he told multiple people they “are all going to die” at the trunk-or-treat event. It also says he began harassing people in the parking lot while hundreds of children and adults were there. The statement goes on to say that Matthew McCulloch was shoved to the ground after threatening a witness and the witness’ wife. Matthew McCulloch pulled up his shirt to show a handgun and a badge, the statement alleges. Officials said he then fired shots into the air “approximately a dozen times while shouting that the attendees would die.” Several people at the event tackled Matthew McCulloch and took his gun, according to court documents.",Indiscriminate Shooting,Random Shooting,No,,No,No,No,No,No,No,Yes,12,38.600036,-90.418977
