SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009
40,3,6,1,Alabama,4447100,4447382,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708
40,4,9,2,Alaska,626932,626931,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473
40,4,8,4,Arizona,5130632,5130607,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778
40,3,7,5,Arkansas,2673400,2673386,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450
40,4,9,6,California,33871648,33871648,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664
40,4,8,8,Colorado,4301261,4302015,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748
40,1,1,9,Connecticut,3405565,3405607,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288
40,3,5,10,Delaware,783600,783557,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122
40,3,5,11,District of Columbia,572059,572055,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657
40,3,5,12,Florida,15982378,15982839,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969
40,3,5,13,Georgia,8186453,8186781,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211
40,4,9,15,Hawaii,1211537,1211538,1211566,1218305,1228069,1239298,1252782,1266117,1275599,1276832,1287481,1295178
40,4,8,16,Idaho,1293953,1293955,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801
40,2,3,17,Illinois,12419293,12419658,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409
40,2,3,18,Indiana,6080485,6080520,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113
40,2,4,19,Iowa,2926324,2926380,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856
40,2,4,20,Kansas,2688418,2688811,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747
40,3,6,21,Kentucky,4041769,4042288,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113
40,3,7,22,Louisiana,4468976,4468972,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076
40,1,1,23,Maine,1274923,1274915,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301
40,3,5,24,Maryland,5296486,5296544,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478
40,1,1,25,Massachusetts,6349097,6349119,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587
40,2,3,26,Michigan,9938444,9938492,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727
40,2,4,27,Minnesota,4919479,4919492,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214
40,3,6,28,Mississippi,2844658,2844666,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996
40,2,4,29,Missouri,5595211,5596684,5606065,5643986,5680852,5714847,5758444,5806639,5861572,5909824,5956335,5987580
40,4,8,30,Montana,902195,902190,903293,905873,909868,916750,925887,934801,946230,957225,968035,974989
40,2,4,31,Nebraska,1711263,1711265,1713345,1717948,1725083,1733680,1742184,1751721,1760435,1769912,1781949,1796619
40,4,8,32,Nevada,1998257,1998260,2018211,2094509,2166214,2236949,2328703,2408804,2493405,2567752,2615772,2643085
40,1,1,33,New Hampshire,1235786,1235791,1240446,1256879,1271163,1281871,1292766,1301415,1311894,1317343,1321872,1324575
40,1,2,34,New Jersey,8414350,8414378,8430921,8489469,8544115,8583481,8611530,8621837,8623721,8636043,8663398,8707739
40,4,8,35,New Mexico,1819046,1819041,1820813,1828809,1850035,1869683,1891829,1916538,1942608,1968731,1986763,2009671
40,1,2,36,New York,18976457,18976811,18998044,19088978,19161873,19231101,19297933,19330891,19356564,19422777,19467789,19541453
40,3,5,37,North Carolina,8049313,8046406,8079383,8203451,8316617,8416451,8531283,8669452,8866977,9064074,9247134,9380884
40,2,4,38,North Dakota,642200,642195,641200,636267,633617,632809,636303,635365,636771,638202,641421,646844
